LJ101-0001|Very soon now I shall be strong enough on my cyclone leg to resume my lessons in waltzing.
LJ101-0053|The rehearsals had been crowned with success, and when the cow came on the stage she got a bouquet, and made a bran mash on one of the ushers.
LJ101-0054|She danced up and down the stage, perfectly self-possessed, and with that perfect grace and abandon which is so noticeable in the self-made cow.
LJ101-0055|Finally she got through,
LJ101-0056|She was improperly steered, however, and ran her head against a wing, where she stopped in full view of the audience.
LJ101-0057|talent inside of the cow thought they had reached the dressing-room and ran against the wall, so they felt perfectly free to converse with each other.
LJ101-0058|The cow stood with her nose jammed up against the wing, wrapped in thought,
LJ101-0059|Finally, from her thorax the audience heard a voice say:
LJ101-0060|It is not now known what the reply was, for just then the prompter came on the stage,
LJ102-0001|Quick thinking on and off the platform is quite essential to the happiness of the man on the road.
LJ102-0002|The sniping fates are always after him, in small ways as well as in large, and he must keep himself in a state of constant readiness
LJ102-0003|Sometimes the successful warding off of a flying missile sped from the bow of some malign goddess of mischance
LJ102-0004|becomes the making of the man, as in a case once reported to me by a gentleman in Montana when after my lecture at Billings
LJ102-0005|This privileged creature had leaped into the chair immediately behind me, and begun massaging his face in true feline fashion, to the intense delight
LJ102-0006|I suppose that if I had known what was going on behind me, I should have tried to rise to the occasion on the spur of the moment;
LJ102-0007|but not knowing it I read on, in blissful unconsciousness of the fact
LJ102-0008|The only sensation experienced at the time by my innocent self
LJ102-0009|was one of supreme pleasure and satisfaction that my audience had at last awakened to the beauty of my discourse,
LJ102-0010|When at the close of the reading the real truth was revealed to me I merely smiled, and never for a moment let on
LJ102-0011|"""We admired your composure, Mr. Bangs,"" said the chairman. ""A good many men would have been rattled by such an intrusion as that;"
LJ102-0012|"""Oh, well,"" said I, ""we have to get used to that sort of thing."
LJ102-0013|The trained lecturer really ought to be able to go on even if a young earthquake were to fall upon him.
LJ102-0014|"Do you always try your lecturers on a cat?"" I added."
LJ102-0015|"""Well, I hadn't thought of it that way,"" he laughed; ""but as a matter of fact we most generally do. That cat belongs to our janitor,"
LJ102-0016|One year we had a man out here giving some recitations, and I tell you old Tom helped him out considerably.
LJ102-0017|He was rolling along through some funny speech or other, when the cat jumped upon the platform, washed his face two or three times,
LJ102-0018|The audience roared and the recitationist stopped, gazed with mock indignation at the people for a second or two, and then addressing me he said,
LJ102-0019|Mr. Chairman, I understood that this was to be a monologue— not a catalogue.' Of course it brought down the house, and ever since then
LJ102-0020|As a standard of emergency repartee I am inclined to think this incident sets the high-water mark.
LJ102-0021|The intrusion of four-footed creatures on the line of vision at lectures is unfortunately not rare.
LJ102-0022|As long as they leave me alone, and hold their tongues, I am content to have them disport themselves as they please, in the public eye or out of it.
LJ102-0023|But a dog is another proposition altogether.
LJ102-0024|Personally I like dogs better than I like cats; but for platform purposes I prefer the feline to the canine intrusion.
LJ102-0025|washing her face, manicuring her ears, pursuing her tail— 
LJ102-0026|but the dog too frequently takes a direct personal interest in the chief performer of the occasion.
LJ102-0027|As evidence of this I recall an afternoon devoted not long since to the reading of one of Browning's exceedingly difficult masterpieces,
LJ102-0028|"The poem was Browning's ""Christmas Eve and Easter Day,"" full of beauty and of inspired thought, but not easy reading,"
LJ102-0029|My small audience was most appreciative, and as I approached the climacteric I was feeling tolerably well satisfied with the results,
LJ102-0030|stationed himself deliberately before me,
LJ102-0031|stretched himself until it almost seemed that one could hear his bones crack,
LJ102-0032|and sent forth upon the mystery-laden atmosphere
LJ102-0033|about as expressive a whining yawn as one might expect from the Seven Sleepers themselves, all rolled into one,
LJ102-0034|I never finished the reading,
LJ102-0035|and what had been an hour of highly concentrated mysticism reached its sixtieth second in a wild roar of hilarious relief.
LJ102-0036|A less comfortable moment involving a canine intruder occurred at Binghamton, New York, back in 1898, when I suffered the
LJ102-0037|which may or may not have been made interesting to the initiates by the presence of the proverbial goat,
LJ102-0038|But this was as nothing in its effect upon my peace of mind to the sudden development of that bulldog in our midst.
LJ102-0039|Bright as I had fondly hoped these works would be thought, they immediately went dark in the face of that undershot jaw with its gleaming white teeth,
LJ102-0040|Whether I continued to read or merely extemporized I do not now recall— in fact, I really never knew— I simply know
LJ102-0041|The latter, after satisfying his visual perceptions as to my superficial virtues and defects,
LJ102-0042|seemed to find it necessary to satisfy also some inward nasal craving to settle certain lingering doubts in his mind as to my right
LJ102-0043|He departed, going out as he had come, through the open doorway, and left me again in control of the situation, if not wholly of myself.
LJ102-0044|When he had completely faded into the outer darkness I paused and said:
LJ102-0045|"""Ladies and Gentlemen, I appreciate deeply your tribute of regard; but let me tell you frankly that I prefer flowers,"
LJ102-0046|If you have any further four-footed tokens of your esteem in store for me,
LJ102-0047|I beg that you will send them by special messenger to my office in New York, or by mail to my residence in Yonkers,
LJ102-0048|The ultimate results of this incident were far from happy.
LJ102-0049|I naturally told the story, together with some other amusing details of my visit to Binghamton, to friends at my club later,
LJ102-0050|not any more in confidence than they are related here, and as good-naturedly as their diverting quality rendered appropriate;
LJ102-0051|"""an ungrateful guest,"" and so on, in consequence of which Binghamton and I no longer speak as we pass by."
LJ102-0052|For this I am sincerely sorry, but none the less must rest content.
LJ102-0053|I do not think I should care to return there even if I were asked, for fear that in pursuance of their system of tribute
LJ102-0054|they might try my courage upon the lineal descendant of that goat above stairs, or possibly upon some actively inclined bull,
LJ102-0055|The minor matter of dress is frequently the cause of emergency calls for help from embarrassed lyceumites,
LJ102-0056|Sir Arthur Conan Doyle once told me of an amusing complication along these lines by which he was confronted in a New Jersey community,
LJ102-0057|On his arrival at the scene of action Dr. Doyle, as he was then known, discovered to his dismay
LJ102-0058|Everything else was there; but his swallowtail was missing.
LJ102-0059|Now Sir Arthur is not only a distinguished novelist and story writer,
LJ102-0060|but is a particularly punctilious and tactfully courteous gentleman as well; and, having heard stories of other Britons coming to this country
LJ102-0061|and attending functions given in their honor in tweeds, as if we Americans knew nothing of the niceties of dress,
LJ102-0062|So, rather than seem contemptuous of the conventionalities on this occasion, the doctor pleaded a headache as his excuse for not appearing at dinner,
LJ102-0063|and in the interval of time thus gained transformed his blue serge traveling coat into a perfectly good dinner jacket,
LJ102-0064|or Tuxedo, as some do call it, with properly rolling lapels, by cutting off the buttons and rolling the front of his coat back
LJ102-0065|into a broad lapel effect; pressing the resulting garment into stayable shape by putting it between the mattresses of his bed,
LJ102-0066|I cannot say that I have ever found myself master of any such wonderful ingenuity when face to face with a similar predicament; but
LJ102-0067|"My trunk had been despatched from San Antonio to Houston, and I was ""living in my suitcase."""
LJ102-0068|With only twenty-five minutes to spare before I was due upon the platform, I found myself without shirt studs,
LJ102-0069|and at the moment without anything at hand to use as an acceptable substitute. A hurried visit to the main street and some of its tributaries
LJ102-0070|I was in a terrific quandary; but the Only Muse, always a resourceful person,
LJ102-0071|reminded me of Oliver Herford's expedient many years before in using in a similar emergency
LJ102-0072|Fortunately I had with me several bits of manuscript that were held together by these useful little contrivances—
LJ102-0073|These were inserted in the buttonholes of my shirt in most satisfactory fashion, and in a few moments as far as externals were concerned
LJ102-0074|With a sigh of relief I then turned to put on my white waistcoat, only to discover, alas! that that too was missing,
LJ102-0075|nor was there any sign anywhere of any other kind of vest that could do duty convincingly, or even acceptably,
LJ102-0076|with a claw-hammer coat. Again I flew precipitately down the stairs, this time to the kindly room clerk in the hotel office.
LJ102-0077|"""Certainly I have,"" said he, and together we repaired to his room in quest of the needed garment."
LJ102-0078|He soon found it, and I returned rejoicing to my room, the treasure hugged tightly to my breast;
LJ102-0079|but when I came to try it on I discovered, what I had overlooked in the agitation of the moment, that as eight is to thirty-two,
LJ102-0080|I could get into the vest; but no compressor ever yet invented could so adjust my physical proportions to the garment
LJ102-0081|"""What the deuce am I going to do?"" I cried, sinking into a chair in despair."
LJ102-0082|"""Slit it up the back, and I'll pin it on you,"" suggested the ever-ready Muse."
LJ102-0083|"""But it isn't mine,"" said I."
LJ102-0084|In an instant I had the room clerk on the telephone.
LJ102-0085|"""Will you sell me that vest?"" I asked."
LJ102-0086|"“Why— no,"" he said. ""I don't want to sell it."""
LJ102-0087|"""But I need it in my business,"" I pleaded."
LJ102-0088|"""Well, you've got it, haven't you?"""
LJ102-0089|"""Yes, I've got it all right,"" I replied; ""but I can't get into it without putting a yard of extra width in the back. Come on— be a good fellow and sell it to me,"""
LJ102-0090|"""No,"" he answered with a chuckle, “no— I couldn't sell it to you; but I'll give it to you with all the pleasure in the world!"""
LJ102-0091|In this fashion was the emergency met, and I went out before my audience that night on time in improvised raiment pinned on to my person,
LJ102-0092|"""a thing of shreds and patches,"" and blazoning as to my shirt-front with all the resplendent gilt of three brass tacks,"
LJ102-0093|It may seem to the casual observer that such matters as shirt studs and white waistcoats are of too slight importance to worry a speaker;
LJ102-0094|"but a ""whole date"" was once saved to me by the fact that I wore a high silk hat, which caused a kindly livery-stable keeper"
LJ102-0095|to drive me eighteen miles from a stranded railway train through a blizzard to the town of my destination,
LJ102-0096|"When he discovered that I was only one of ""them lecture fellers,"" for whose free tickets he had no use, he was terribly disappointed."
LJ102-0097|Anyhow, an audience likes a man to be wholly himself, and cares little for a speaker who modifies his dress
LJ102-0098|A popular and prominent candidate for Governor of New York once lost a large number of votes that might have elected him
LJ102-0099|because in addressing a gathering of workingmen at an East Side rally, the night being insufferably hot,
LJ102-0100|The men were deeply offended. They significantly asked if he would have taken off his coat in the presence of a fashionable uptown audience,
LJ102-0101|and would have none of his presumed assumption that they were any less worthy of his respect, or careful of their own dignity, than his so-called
LJ102-0102|I have always found the full evening dress and high collar of an effete civilization wholly comfortable,
LJ102-0103|and wear them accordingly wherever I lecture, whether it be in the rarefied social atmosphere of high academic circles, or in a mining camp
LJ102-0104|where there dwell possibly rougher, but none the less genuine, human folk. I think that in the latter environment indeed
LJ102-0105|it is a positive aid to success to do so; for there can be no doubt that reduced to its essentials
LJ102-0106|the evening dress of the modern male creature is really a funny thing, and in an evening devoted somewhat to humor any element
LJ102-0107|Perhaps the most overpowering sense of being confronted by an emergency came to me again back in 1898
LJ102-0108|Most of our troubles are, I fancy, imaginary— purely psychological, as the modern phrase has it— but while they are on
LJ102-0109|to lecture at the attractive little port of Brunswick, Georgia. It was here, by the way, that I first had the pleasure of seeing my name on a hotel bill of fare,
LJ102-0110|which in the platform world is the height of fame, just as in the theatrical world it is the acme of distinction for a star to see his name pasted
LJ102-0111|on an ash barrel, or spread across the hoardings of a ten-acre lot full of tin cans and other undesirable bric-à-brac.
LJ102-0112|Tea Biscuit. Corn Muffins. Graham Gems. Popovers. John Kendrick Bangs, Casino, Tonight.
LJ102-0113|But that was not the Emergent Moment of which I would speak. This came later, at the conclusion of my lecture, when a young man
LJ102-0114|of the 'House-Boat on the Styx.' The captain was detained from your lecture tonight, to his very great regret;
LJ102-0115|"but he wishes you would drop all formality and join him at supper."" Knowing neither Captain Maguffy (the name is a substitute for the real one)"
LJ102-0116|nor his ambassador, I thanked the latter, saying that while I was grateful for his courtesy I was really very tired,
LJ102-0117|"""The captain never takes no for an answer,"" persisted the young man. ""He will be terribly disappointed if you don't come, and as a matter of fact,"
LJ102-0118|Unfortunately— or fortunately, as it later turned out— among other serious defects in my education
LJ102-0119|"the sum total of some thirty-two negatives soon developed into one positive affirmative. ""All right,"" I said finally,"
LJ102-0120|"""I'll run in on the captain; but only for a moment, just long enough to shake hands, say howdido, and get back to bed."
LJ102-0121|"The ambassador thereupon assisted me into one of those indescribable one-horse ""shays"""
LJ102-0122|that seem to sprout in the vicinity of Southern railway stations and hotels about as lushly as mint in the patches of the Carolinas.
LJ102-0123|I used to think when I was a resident of Yonkers that the Hudson River Valley was a sort of hack heaven,
LJ102-0124|whither all sorts of deceased vehicles went when they died; but several tours of the South
LJ102-0125|since have convinced me that that idea was mere presumption on my part. The South, as well as the Hudson River Valley,
LJ102-0126|The whole effect was eery in the extreme, especially as we drove and drove and drove, and floated and floated and floated,
LJ102-0127|I became terribly uneasy.
LJ102-0128|The thought flashed through my mind,
LJ102-0129|"""Why, here you are, all alone, after ten o'clock at night, in a strange country,"
LJ102-0130|going to see a man you never heard of before, in company of an individual whose name you haven't asked, and whose face you have seen
LJ102-0131|"You are known to have several hundred dollars in your pocket, and nobody under Heaven but yourself and your companion knows where you are, or in what kind of company."""
LJ102-0132|"It really seemed time for a diplomatic ""hedge."""
LJ102-0133|"""Where is Captain Maguffy's house?"" I inquired as a starter, after we had driven for an overlong time."
LJ102-0134|"""Newark, New Jersey,"" was the consoling reply, but soberly made."
LJ102-0135|"I don't feel equal to a drive that far,"" I said dryly. ""I supposed when I accepted this invitation that your captain was living around the corner somewhere."""
LJ102-0136|"""His boat?"" I cried. ""Oh, come now, my friend— if I'd known that— well, really, I think we'd better turn back."""
LJ102-0137|"""Not now,"" said he. ""We're almost there."""
LJ102-0138|"""But why doesn't the captain keep his boat closer to civilization?"" I queried."
LJ102-0139|"""Isn't there room for him closer to town?"" ""Yes, there's plenty of room closer to town,"" replied my strange acquaintance,"
LJ102-0140|He and the government aren't on the best of terms. Between you and me,
LJ102-0141|"My heart sank into my boots and then rebounded to my throat. ""You should have told me all this before we started,"" said I."
LJ102-0142|"""Well, I should have,"" said he; “but— well, I was afraid if I did you wouldn't come, and the captain told me not to come back without you."
LJ102-0143|I could think of only one word.
LJ102-0144|The simple term kidnapped flashed across my mind, and then the pleasing little phrase, so nice for a headline, Held for Ransom,
LJ102-0145|The beating of my heart sounded like the muffled tread of that invisible steed ahead on the coquina road.
LJ102-0146|I glanced out of the chaise to see what my chances of escape might be in case I made a break for liberty, and saw off to the right of me
LJ102-0147|At the inner end of the pier was a white-washed shed.
LJ102-0148|Everything in sight except the driver, the chaise, and my future looked white— a ghastly, ghostly white
LJ102-0149|Here the carriage came to a sudden halt, and a tall black figure loomed up from behind the shed.
LJ102-0150|"""Did you get him?"" came a deep bass voice out of the night."
LJ102-0151|"""You betcha!"" was the reply from my companion."
LJ102-0152|I descended from the carriage, and my conductor led the way along the rotting stringpiece of the pier, a little more than a foot wide,
LJ102-0153|I was completely a captive.
LJ102-0154|A moment later we came to a narrow gangplank leading to the broad, holy-stoned deck of the schooner,
LJ102-0155|"""Down this way, please,"" said my companion as we reached the hatchway."
LJ102-0156|Tremulously I followed him down the steps, and in a moment found myself— in the prettiest, daintiest, little, white and gold parlor
LJ102-0157|Everywhere was gold and white— chairs, walls, table— and set in the panels of the walls (built in)
LJ102-0158|were a half-dozen exquisite little water-color paintings, all in most perfect keeping with the general color scheme of the room;
LJ102-0159|It was really a wonderful picture; but I had hardly had time to take it in when from behind me again
LJ102-0160|"""Welcome, O Skipper of the Stygian House Boat, to the Samuel J. Taylor!"" it said, and quickly turning"
LJ102-0161|If the white and gold cabin had amazed me, the captain completely took my breath away. He looked as if he had just come in from a five o'clock tea on Fifth avenue—
LJ102-0162|frock coat, dark gray trousers, all of perfect fit,
LJ102-0163|white waistcoat, lavender tie with an exquisite pearl pin stuck carelessly into its soft folds, and in his hand
LJ102-0164|As I have said, I was breathless, and consequently speechless, for a moment; but I did manage at the end of a few seconds to blurt out:
LJ102-0165|"am I awake, Captain?"""
LJ102-0166|"“Well— if you're not, we've plenty of room and time for you to sleep it out,"" he replied."
LJ102-0167|"""But this cabin— this saloon— these— these water colors!"" I went on."
LJ102-0168|"""A little fancy of my wife's,"" said mine host. ""She fitted it all up herself. The water colors, by the way, are all her own work."
LJ102-0169|Here he mentioned one of our famous artists, a member of my club, and a painter of rare distinction.
LJ102-0170|My desire to get away had become less keen; but I deemed it wise nevertheless to make the effort.
LJ102-0171|"""Oh, you mustn't go until you have broken bread with me,"" said he."
LJ102-0172|"""I told him he could be in bed by twelve if he wanted to,"" interposed my conductor."
LJ102-0173|Then began the service of a supper in which for the first time I tasted the joys of alligator pears,
LJ102-0174|the full possibilities of Moro crabs a la Newburg,
LJ102-0175|alongside of which even my beloved Maine lobsters are dull and dreary reptiles, and of many other delightful edibles as well,
LJ102-0176|He told me of his interest in the Cuban struggle for independence; how he had gone first to Havana as correspondent for an American newspaper
LJ102-0177|He told me then how he had at last decided to help the Cuban cause with arms, and with what money he had;
LJ102-0178|how he had chartered this lumber schooner and gone ostensibly into the lumber business to cover his real activities;
LJ102-0179|and how every time he set out from Brunswick laden with lumber consigned to some other port he always took
LJ102-0180|"""And what has Uncle Sam had to say to all these activities?"" I asked."
LJ102-0181|"""He's getting a little suspicious,"" laughed the captain. ""Once I thought he'd got me, too. I had a thousand rifles"
LJ102-0182|They sent a search party aboard— and I tell you, sir, they were a mighty thorough lot! There wasn't a nook or cranny of the Samuel J. Taylor
LJ102-0183|"""But how,"" said I, ""did you manage to conceal the stuff?"""
LJ102-0184|"""Oh, that was simple,"" laughed the captain. ""They went through the Samuel J. Taylor with a fine-tooth comb; but they forgot to search the tug."
LJ102-0185|It was five o'clock in the morning when Captain Maguffy delivered me at my hotel.
LJ102-0186|"""Goodbye, Captain,"" said I. ""For a few moments I was afraid you were going to kidnap me— and now, by George! my only regret is that you didn't!"""
LJ102-0187|"He laughed heartily. ""Well,"" he said, ""if you really mean that, come back on board. I think it can be arranged."""
LJ102-0188|But freedom was too sweet, and besides I had to make my living; so I reluctantly bade the captain good morning,
LJ103-0001|Nowhere the shade of a village or even of a caravansary in sight.
LJ103-0002|Nothing but dwarf-palms, lentisk-thickets, and great stretches of plough-land reaching as far as eye could see.
LJ103-0003|and I stood in some danger of passing the night out in a swamp.
LJ103-0004|Was it the hour, the rain, the intense silence that impressed me? I do not know,
LJ103-0005|but an air of sadness seemed to brood over the land, as if the burden of some terrible anxiety had suspended every activity.
LJ103-0006|All about, scattered in the fields, was the neglected harvest.
LJ103-0007|but here it was rotting upon the ground.
LJ103-0008|Rusted ploughs and harrows lay about in the rain, apparently forgotten.
LJ103-0009|The dogs scarcely barked at our approach.
LJ103-0010|but not a man, not a horse, was in sight
LJ103-0011|seemed as destitute of life as were the surroundings.
LJ103-0012|We found the stables open,
LJ103-0013|boxes and mangers empty, and not a groom in sight to receive our horses.
LJ103-0014|courteous and affable to an extreme, find opportunity to exercise their hospitable virtues,
LJ103-0015|was open and silent, like the stables.
LJ103-0016|The high walls were coated with lime, decorated with trophies of war and ostrich-feathers; a long low divan ran about the hall,
LJ103-0017|and it was dripping from the torrents of rain with which the storm had pelted the entrance.
LJ103-0018|Yet the cafe was not empty.
LJ103-0019|beside a brazier turned upside down.
LJ103-0020|a beautiful boy, but feverish and pale
LJ103-0021|he reclined upon the divan, rolled up in a black burnous, two great greyhounds at his feet.
LJ103-0022|As we entered, there was no sound or sign of life.
LJ103-0023|At the utmost, the head of one of the greyhounds may have moved, the boy perhaps deigned to glance in our direction,
LJ103-0024|his beautiful dark eyes feverish and languid.
LJ103-0025|The old servant made a vague motion of the head in the direction of the horizon.
LJ103-0026|The gesture seemed to say that his master had gone far, very far.
LJ103-0027|his head bowed, a kiss at the tip of his fingers, and wrapping his burnous proudly about him, left the hall
LJ103-0028|sometimes interrupted by fits of silence, when we could hear the rain dropping upon the mosaic of the interior courtyards, the boilers singing,
LJ103-0029|and the barking of jackals, scattered in thousands upon the plain.
LJ103-0030|Four months before, on the 15th of August, he had received that famous decoration of the Legion of Honor, which he had awaited many years.
LJ103-0031|All the others were knights, officers
LJ103-0032|over a game of cards, and the military fraternity is so all-powerful in Algeria that,
LJ103-0033|All night long, tambourines and reed-pipes resounded.
LJ103-0034|At the gates of the city his band paused according to custom.
LJ103-0035|Having performed his duty at the palace, he proceeded to the upper town, permitting himself to be seen paying his devotions to the mosque
LJ103-0036|as he passed on, distributing silver among the poor,
LJ103-0037|visiting barbers and embroiderers, buying for his wives perfumed waters, brocaded, flowered silks,
LJ103-0038|sent prolonged glances of admiration towards that beautiful new silver cross worn so proudly.
LJ103-0039|Ah! life has indeed its great moments
LJ103-0040|who regarded him with an evil smile.
LJ103-0041|That smile upon the face of an enemy terrified him, and he trembled as he entered the governor's chamber.
LJ103-0042|The marshal, sitting astride a chair, received him.
LJ103-0043|as if from the reflection of some forge fire.
LJ103-0044|A convulsive movement shook his tall body.
LJ103-0045|His eyes flamed.
LJ103-0046|But the flash lasted only for a second.
LJ103-0047|His eyes were lowered almost instantly;
LJ103-0048|he bowed before the governor.
LJ103-0049|"“Thou art master here, my Lord,"" he said, and unfastening the cross from his breast, he placed it upon a table."
LJ103-0050|His hands trembled.
LJ103-0051|Tears quivered at the end of his long eyelashes.
LJ103-0052|“Come, come, my brave, you will receive it next year;”
LJ103-0053|and he extended his hand with an air almost friendly.
LJ103-0054|bowed without responding, and departed.
LJ103-0055|He knew just how much value to attach to this promise of the marshal's, and suddenly realized that a mere bureau intrigue
LJ103-0056|had brought this humiliation upon him.
LJ103-0057|News of his disgrace had already spread through the city.
LJ103-0058|and it was this very pity that pained him more than the sneers of the others.
LJ103-0059|He hastened on, keeping close to the walls, seeking the lanes that were darkest, most secluded.
LJ103-0060|The spot from which his cross had been plucked seemed to burn him, as though an open wound were there.
LJ103-0061|And all the time he thought to himself,
LJ103-0062|Then followed wild outbursts of rage.
LJ103-0063|Suddenly, in the midst of his schemes of vengeance, a thought of the Emperor occurred to him like a sudden gleam of light.
LJ103-0064|The Emperor!
LJ103-0065|who had preserved for himself no other power than the purely spiritual.
LJ103-0066|There would be a week's journey, but he was so sure of the result that he desired his band to remain at the gates of Algiers to await his return.
LJ103-0067|The packet-boat left the next day, bearing him towards Paris, and he was as serene and composed as though departing on a pilgrimage to Mecca.
LJ103-0068|Four months ago he left, and the letters he sends to his wives do not hint of return as yet.
LJ103-0069|laughed at everywhere, caught within the formidable machinery of the French Administration,
LJ103-0070|anxiously awaiting an interview that will never come;
LJ103-0071|and in the evening he is seen again—
LJ103-0072|his tall, sombre figure ridiculous because of its very majesty— waiting for a key in the office of some lodging-house;
LJ103-0073|and then he ascends to his own room, weary with tramping, with attempts that came to nothing,
LJ103-0074|but lofty and proud as ever, clinging to a last hope, as furious in his zeal
LJ103-0075|as some gambler who has staked his all, in pursuit of his honor.
LJ103-0076|His horses, tied to their pickets, neigh towards the sea.
LJ103-0077|Among the tribe, all is suspense.
LJ103-0078|The harvests rot upon the ground for want of arms to gather them.
LJ103-0079|Women and children count the days, their eyes ever turned towards Paris.
LJ103-0080|And it is pathetic to see what ruin, how many hopes, how many fears, hang by that bit of red ribbon.
LJ103-0081|And when will it all end?
LJ103-0082|wrapped in violet mists,
LJ103-0083|pointed towards the pale and slender crescent of the moon, climbing a cloudy sky.
LJ104-0001|Francis rowed off to the ship, got the flags in readiness for hoisting, and stood with the lines in his hand.
LJ104-0002|"""Can you make them out, yet?"" he hailed the men at the mastheads."
LJ104-0003|The other did not reply at once, but presently he shouted down:
LJ104-0004|"""Silence, men!"" Francis said. ""Do not let a man shout, or wave his cap, till we are absolutely certain."
LJ104-0005|"Remember the agony with which those on shore are watching us, and the awful disappointment it would be, were their hopes raised only to be crushed, afterwards."""
LJ104-0006|"""It is Zeno's fleet!"""
LJ104-0007|A shout of joy broke from the troops. Cheer after cheer rent the air, from ship and shore, and then the wildest excitement reigned.
LJ104-0008|Some fell on their knees, to thank God for the rescue thus sent when all seemed lost.
LJ104-0009|Some danced and shouted. Some wept with joy.
LJ104-0010|Men fell on to each other's necks, and embraced. Some threw up their caps. All were wild with joy, and pent-up excitement.
LJ104-0011|Zeno, who, in ignorance of the terrible straits to which his countrymen were reduced, was making with his fleet direct to Venice,
LJ104-0012|As he did so, a boat was lowered, and he rowed to the strand, where the Venetians crowded down to greet him.
LJ104-0013|With difficulty, he made his way through the shouting multitude to the spot, a little distance away, where the doge was awaiting him.
